designation,A,B,t,n,d,dh,p,e,capacity,failure,Nr
ISA  200200,200.0,200.0,12.0,2,12.0,13.0,40.0,25.0,546.0,Failure governed by Block Shear,2
ISA  200200,200.0,200.0,15.0,2,12.0,13.0,40.0,25.0,683.0,Failure governed by Block Shear,2
ISA  200200,200.0,200.0,18.0,2,12.0,13.0,40.0,25.0,820.0,Failure governed by Block Shear,2
ISA  200200,200.0,200.0,25.0,2,12.0,13.0,40.0,25.0,1138.0,Failure governed by Block Shear,2
ISA  200200,200.0,200.0,12.0,2,12.0,13.0,40.0,25.0,437.0,Failure governed by Block Shear,1
ISA  200200,200.0,200.0,15.0,2,12.0,13.0,40.0,25.0,547.0,Failure governed by Block Shear,1
ISA  200200,200.0,200.0,18.0,2,12.0,13.0,40.0,25.0,656.0,Failure governed by Block Shear,1
ISA  200200,200.0,200.0,25.0,2,12.0,13.0,40.0,25.0,911.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,10.0,2,12.0,13.0,0.0,0.0,293.0,Failure governed by Block Shear,2
ISA 150150,150.0,150.0,12.0,2,12.0,13.0,0.0,0.0,352.0,Failure governed by Block Shear,2
ISA 150150,150.0,150.0,15.0,2,12.0,13.0,0.0,0.0,440.0,Failure governed by Block Shear,2
ISA 150150,150.0,150.0,18.0,2,12.0,13.0,0.0,0.0,528.0,Failure governed by Block Shear,2
ISA 150150,150.0,150.0,10.0,2,12.0,13.0,40.0,25.0,214.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,2,12.0,13.0,40.0,25.0,257.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,12.0,13.0,40.0,25.0,312.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,12.0,13.0,40.0,25.0,367.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,12.0,13.0,40.0,25.0,422.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,12.0,13.0,40.0,25.0,478.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,7,12.0,13.0,40.0,25.0,533.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,8,12.0,13.0,40.0,25.0,588.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,2,14.0,15.0,50.0,30.0,281.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,14.0,15.0,50.0,30.0,353.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,14.0,15.0,50.0,30.0,424.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,14.0,15.0,50.0,30.0,496.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,14.0,15.0,50.0,30.0,568.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,7,14.0,15.0,50.0,30.0,639.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,8,14.0,15.0,50.0,30.0,711.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,2,16.0,18.0,55.0,35.0,292.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,16.0,18.0,55.0,35.0,368.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,16.0,18.0,55.0,35.0,444.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,16.0,18.0,55.0,35.0,520.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,16.0,18.0,55.0,35.0,595.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,7,16.0,18.0,55.0,35.0,671.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,8,16.0,18.0,55.0,35.0,747.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,2,18.0,20.0,60.0,35.0,297.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,18.0,20.0,60.0,35.0,378.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,18.0,20.0,60.0,35.0,460.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,18.0,20.0,60.0,35.0,542.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,18.0,20.0,60.0,35.0,624.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,7,18.0,20.0,60.0,35.0,706.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,8,18.0,20.0,60.0,35.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,2,20.0,22.0,65.0,40.0,311.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,20.0,22.0,65.0,40.0,399.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,20.0,22.0,65.0,40.0,487.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,20.0,22.0,65.0,40.0,575.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,20.0,22.0,65.0,40.0,663.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,7,20.0,22.0,65.0,40.0,751.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,8,20.0,22.0,65.0,40.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,2,22.0,24.0,75.0,45.0,335.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,22.0,24.0,75.0,45.0,440.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,22.0,24.0,75.0,45.0,544.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,22.0,24.0,75.0,45.0,648.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,22.0,24.0,75.0,45.0,753.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,7,22.0,24.0,75.0,45.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,8,22.0,24.0,75.0,45.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,2,24.0,26.0,80.0,45.0,340.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,24.0,26.0,80.0,45.0,450.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,24.0,26.0,80.0,45.0,560.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,24.0,26.0,80.0,45.0,671.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,24.0,26.0,80.0,45.0,781.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,7,24.0,26.0,80.0,45.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,8,24.0,26.0,80.0,45.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,2,27.0,30.0,90.0,55.0,368.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,27.0,30.0,90.0,55.0,491.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,27.0,30.0,90.0,55.0,614.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,27.0,30.0,90.0,55.0,736.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,27.0,30.0,90.0,55.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,7,27.0,30.0,90.0,55.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,8,27.0,30.0,90.0,55.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,2,30.0,33.0,100.0,60.0,390.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,30.0,33.0,100.0,60.0,527.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,30.0,33.0,100.0,60.0,664.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,30.0,33.0,100.0,60.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,6,30.0,33.0,100.0,60.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,7,30.0,33.0,100.0,60.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,8,30.0,33.0,100.0,60.0,786.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,12.0,2,32.0,35.0,105.0,60.0,394.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,32.0,35.0,105.0,60.0,537.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,32.0,35.0,105.0,60.0,680.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,32.0,35.0,105.0,60.0,779.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,12.0,6,32.0,35.0,105.0,60.0,779.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,12.0,7,32.0,35.0,105.0,60.0,779.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,12.0,8,32.0,35.0,105.0,60.0,779.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,15.0,2,12.0,13.0,40.0,25.0,321.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,12.0,13.0,40.0,25.0,390.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,12.0,13.0,40.0,25.0,459.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,12.0,13.0,40.0,25.0,528.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,6,12.0,13.0,40.0,25.0,597.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,7,12.0,13.0,40.0,25.0,666.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,8,12.0,13.0,40.0,25.0,735.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,2,14.0,15.0,50.0,30.0,352.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,14.0,15.0,50.0,30.0,441.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,14.0,15.0,50.0,30.0,531.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,14.0,15.0,50.0,30.0,620.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,6,14.0,15.0,50.0,30.0,709.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,7,14.0,15.0,50.0,30.0,799.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,8,14.0,15.0,50.0,30.0,888.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,2,16.0,18.0,55.0,35.0,366.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,16.0,18.0,55.0,35.0,460.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,16.0,18.0,55.0,35.0,555.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,16.0,18.0,55.0,35.0,649.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,6,16.0,18.0,55.0,35.0,744.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,7,16.0,18.0,55.0,35.0,839.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,8,16.0,18.0,55.0,35.0,933.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,2,18.0,20.0,60.0,35.0,371.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,18.0,20.0,60.0,35.0,473.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,18.0,20.0,60.0,35.0,575.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,18.0,20.0,60.0,35.0,678.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,6,18.0,20.0,60.0,35.0,780.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,7,18.0,20.0,60.0,35.0,882.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,8,18.0,20.0,60.0,35.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,2,20.0,22.0,65.0,40.0,389.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,20.0,22.0,65.0,40.0,499.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,20.0,22.0,65.0,40.0,608.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,20.0,22.0,65.0,40.0,718.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,6,20.0,22.0,65.0,40.0,828.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,7,20.0,22.0,65.0,40.0,938.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,8,20.0,22.0,65.0,40.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,2,22.0,24.0,75.0,45.0,419.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,22.0,24.0,75.0,45.0,550.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,22.0,24.0,75.0,45.0,680.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,22.0,24.0,75.0,45.0,810.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,6,22.0,24.0,75.0,45.0,941.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,7,22.0,24.0,75.0,45.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,8,22.0,24.0,75.0,45.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,2,24.0,26.0,80.0,45.0,424.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,24.0,26.0,80.0,45.0,562.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,24.0,26.0,80.0,45.0,701.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,24.0,26.0,80.0,45.0,839.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,6,24.0,26.0,80.0,45.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,7,24.0,26.0,80.0,45.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,8,24.0,26.0,80.0,45.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,2,27.0,30.0,90.0,55.0,460.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,27.0,30.0,90.0,55.0,614.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,27.0,30.0,90.0,55.0,767.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,27.0,30.0,90.0,55.0,920.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,6,27.0,30.0,90.0,55.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,7,27.0,30.0,90.0,55.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,8,27.0,30.0,90.0,55.0,972.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,15.0,2,30.0,33.0,100.0,60.0,487.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,30.0,33.0,100.0,60.0,658.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,30.0,33.0,100.0,60.0,830.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,30.0,33.0,100.0,60.0,971.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,15.0,6,30.0,33.0,100.0,60.0,971.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,15.0,7,30.0,33.0,100.0,60.0,971.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,15.0,8,30.0,33.0,100.0,60.0,971.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,15.0,2,32.0,35.0,105.0,60.0,492.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,3,32.0,35.0,105.0,60.0,671.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,4,32.0,35.0,105.0,60.0,850.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,15.0,5,32.0,35.0,105.0,60.0,962.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,15.0,6,32.0,35.0,105.0,60.0,962.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,15.0,7,32.0,35.0,105.0,60.0,962.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,15.0,8,32.0,35.0,105.0,60.0,962.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,18.0,2,12.0,13.0,40.0,25.0,385.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,12.0,13.0,40.0,25.0,468.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,12.0,13.0,40.0,25.0,551.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,12.0,13.0,40.0,25.0,634.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,6,12.0,13.0,40.0,25.0,716.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,7,12.0,13.0,40.0,25.0,799.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,8,12.0,13.0,40.0,25.0,882.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,2,14.0,15.0,50.0,30.0,422.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,14.0,15.0,50.0,30.0,529.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,14.0,15.0,50.0,30.0,637.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,14.0,15.0,50.0,30.0,744.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,6,14.0,15.0,50.0,30.0,851.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,7,14.0,15.0,50.0,30.0,959.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,8,14.0,15.0,50.0,30.0,1066.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,2,16.0,18.0,55.0,35.0,439.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,16.0,18.0,55.0,35.0,552.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,16.0,18.0,55.0,35.0,666.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,16.0,18.0,55.0,35.0,779.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,6,16.0,18.0,55.0,35.0,893.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,7,16.0,18.0,55.0,35.0,1006.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,8,16.0,18.0,55.0,35.0,1120.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,2,18.0,20.0,60.0,35.0,445.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,18.0,20.0,60.0,35.0,568.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,18.0,20.0,60.0,35.0,690.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,18.0,20.0,60.0,35.0,813.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,6,18.0,20.0,60.0,35.0,936.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,7,18.0,20.0,60.0,35.0,1058.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,8,18.0,20.0,60.0,35.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,2,20.0,22.0,65.0,40.0,466.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,20.0,22.0,65.0,40.0,598.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,20.0,22.0,65.0,40.0,730.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,20.0,22.0,65.0,40.0,862.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,6,20.0,22.0,65.0,40.0,994.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,7,20.0,22.0,65.0,40.0,1126.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,8,20.0,22.0,65.0,40.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,2,22.0,24.0,75.0,45.0,503.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,22.0,24.0,75.0,45.0,660.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,22.0,24.0,75.0,45.0,816.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,22.0,24.0,75.0,45.0,973.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,6,22.0,24.0,75.0,45.0,1129.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,7,22.0,24.0,75.0,45.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,8,22.0,24.0,75.0,45.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,2,24.0,26.0,80.0,45.0,509.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,24.0,26.0,80.0,45.0,675.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,24.0,26.0,80.0,45.0,841.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,24.0,26.0,80.0,45.0,1006.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,6,24.0,26.0,80.0,45.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,7,24.0,26.0,80.0,45.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,8,24.0,26.0,80.0,45.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,2,27.0,30.0,90.0,55.0,552.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,27.0,30.0,90.0,55.0,736.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,27.0,30.0,90.0,55.0,920.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,27.0,30.0,90.0,55.0,1104.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,6,27.0,30.0,90.0,55.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,7,27.0,30.0,90.0,55.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,8,27.0,30.0,90.0,55.0,1154.0,Failure governed by Yielding of Gross Section,1
ISA 150150,150.0,150.0,18.0,2,30.0,33.0,100.0,60.0,584.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,30.0,33.0,100.0,60.0,790.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,30.0,33.0,100.0,60.0,996.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,30.0,33.0,100.0,60.0,1151.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,18.0,6,30.0,33.0,100.0,60.0,1151.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,18.0,7,30.0,33.0,100.0,60.0,1151.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,18.0,8,30.0,33.0,100.0,60.0,1151.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,18.0,2,32.0,35.0,105.0,60.0,591.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,3,32.0,35.0,105.0,60.0,805.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,4,32.0,35.0,105.0,60.0,1020.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,18.0,5,32.0,35.0,105.0,60.0,1140.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,18.0,6,32.0,35.0,105.0,60.0,1140.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,18.0,7,32.0,35.0,105.0,60.0,1140.0,Failure governed by Rupture of critical section,1
ISA 150150,150.0,150.0,18.0,8,32.0,35.0,105.0,60.0,1140.0,Failure governed by Rupture of critical section,1
ISA 130130,130.0,130.0,8.0,2,12.0,13.0,40.0,25.0,207.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,2,12.0,13.0,40.0,25.0,259.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,3,12.0,13.0,40.0,25.0,305.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,4,12.0,13.0,40.0,25.0,351.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,5,12.0,13.0,40.0,25.0,397.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,6,12.0,13.0,40.0,25.0,443.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,7,12.0,13.0,40.0,25.0,489.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,8,12.0,13.0,40.0,25.0,535.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,2,14.0,15.0,50.0,30.0,275.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,3,14.0,15.0,50.0,30.0,339.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,4,14.0,15.0,50.0,30.0,399.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,5,14.0,15.0,50.0,30.0,459.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,6,14.0,15.0,50.0,30.0,518.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,7,14.0,15.0,50.0,30.0,565.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,8,14.0,15.0,50.0,30.0,565.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,2,16.0,18.0,55.0,35.0,275.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,3,16.0,18.0,55.0,35.0,347.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,4,16.0,18.0,55.0,35.0,415.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,5,16.0,18.0,55.0,35.0,478.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,6,16.0,18.0,55.0,35.0,541.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,7,16.0,18.0,55.0,35.0,547.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,8,16.0,18.0,55.0,35.0,547.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,2,18.0,20.0,60.0,35.0,272.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,3,18.0,20.0,60.0,35.0,351.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,4,18.0,20.0,60.0,35.0,429.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,5,18.0,20.0,60.0,35.0,497.0,Failure governed by Block Shear,2
